date,shock
1994-02-01,0.22434142
1994-03-01,0.31292953
1994-05-01,0.28719449
1994-07-01,0.07046767
1994-08-01,0.41676864
1994-09-01,0.04092842
1994-11-01,0.54906049
1994-12-01,-0.24825458
1995-02-01,0.50076797
1995-03-01,0.24140448
1995-05-01,0.20918393
1995-07-01,-0.00601801
1995-08-01,-0.09061784
1995-09-01,0.02489155
1995-11-01,0.0520993
1995-12-01,-0.17055498
1996-01-01,0.07332545
1996-03-01,0.05645342
1996-05-01,-0.02691964
1996-07-01,-0.03996132
1996-08-01,-0.06533957
1996-09-01,-0.04244125
1996-11-01,0.04758852
1996-12-01,-0.02911222
